PC1,PC2,year,driverId,driver_name,primary_constructor_name
1.589327609558974,0.40461015835833236,2017,154,Romain Grosjean,Haas F1 Team
0.9729990741338065,-1.160696094468835,2017,807,Nico Hülkenberg,Renault
0.18310636536928893,-0.1709583762793587,2017,815,Sergio Pérez,Force India
-2.089211840145266,1.5713847524990636,2017,817,Daniel Ricciardo,Red Bull
-4.452957118856523,0.22233806887118343,2017,822,Valtteri Bottas,Mercedes
2.272261629896443,0.3144803551785778,2017,825,Kevin Magnussen,Haas F1 Team
2.582566683116116,0.6226048114787703,2017,826,Daniil Kvyat,Toro Rosso
3.2474509231304616,0.37807136557166293,2017,828,Marcus Ericsson,Sauber
-1.4834819477963115,0.7802846293566994,2017,830,Max Verstappen,Red Bull
1.3686788439166622,-1.2627164580730135,2017,832,Carlos Sainz,Toro Rosso
2.36273832162652,1.3404046626281296,2017,835,Jolyon Palmer,Renault
